"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.0924139425453832,9999762754.23185,0.652260873023037,0,0.652258352869833,0.0382958396162937,0.55440743282071,0.000763449341021907,0.741485531060214
"2",1,0.0514585596011788,9998702241.44474,0.618270589522962,0,0.618269930049417,0,0.57839007310484,1002.93487580925,0.536915008799346
"3",2,0.0990332495513032,9999787274.98064,0.678920641629938,0,0.678918510515077,0.00616576739531277,0.669418986733437,0.30099440951894,0.678474373651681
"4",3,0.067776561516031,0.237781478448944,0.640032743258337,0,0.640015310663621,0.00486713894063523,0.643979480806067,0.000526038084550506,0.658581222802899
"5",4,0.0163942711309073,9999356468.93867,0.598808219562442,0,0.598807543823949,0.0414894685630686,0.558339459057211,2.05521322044564,0.654008970642213
"6",5,0.29006997755736,9998768677.50959,0.790315949800487,0.0853026985838258,0.723966524316615,0.0973046433617621,0.71877330969466,0,0.790310745271065
"7",6,6.03698362170567,9999135046.38381,0.959851916147456,0.265934496360626,0.928854500329297,0,0.887719793846308,337.218843168061,0.872079215808066
"8",7,5.8811045049607e-05,5.8811045049607e-05,0.453051161353214,0.132264160450276,0,0,0.348134399057012,0.000549401714355273,0.348646238162865
"9",8,5.8811045049607e-05,9999152340.86528,0.405698453209938,0,0.405696613098673,0.0425013988465917,0.35411912998991,272.644178196577,0.572865292755613
"10",9,0.201291049643607,5.8811045049607e-05,0.75004335286714,0,0.750026321182179,0,0.700652751736169,0.000686837554788977,0.702679184861268
"11",10,5.8811045049607e-05,9999135031.51455,0.565240839907468,0,0.565253454118087,0,0.622159336068131,377.063222923164,0.602908231322332
"12",11,0.571068297076575,9999783475.47017,0.828652224996434,0.0157028060861691,0.820182874119526,0,0.836529754570749,275.712862490659,0.825044194356149
"13",12,9998854311.06144,9999325713.42591,0.999933893038648,3.0209365568288,1,8.38018786832964,1,2.86468837483391,1
"14",14,5.8811045049607e-05,11.2326555104303,0.514480714134779,0,0.514478634467124,0,0.496033000720139,615.305569407409,0.457028815820826
"15",15,0.371145825333293,9999945108.33081,0.821882999618211,0.45938426866787,0.375900435596361,0.447431822664016,0.378574684538441,1.10752275068508,0.811219722558622
"16",16,0.145633738813732,5.18162399256234,0.670503305818809,0.182960543819585,0.447628042227309,0.0851304258648602,0.517563600430758,0.000988789591353237,0.789922145143847
"17",17,5.8811045049607e-05,5.8811045049607e-05,0.372605875718393,0,0.372611790429387,0.00406210837448375,0.484736528322997,0.000530794257583549,0.515469516940909
"18",18,0.0959613987834251,9998585334.32328,0.66739506428039,0,0.667393154137252,0.06416425565081,0.618936695277598,0,0.66739325076485
"19",19,5.8811045049607e-05,9991954699.97209,0.0781148844384682,0,0.078103375956803,0.0271005560917768,0,260.88049650469,0.325793996432002
"20",20,0.341966157450588,0.546735236946768,0.773624702360833,0,0.773623372116418,0,0.661463172309177,0.000631665593925367,0.664735774507975
"21",21,0.506374959470416,9994402103.96813,0.84255778594052,0.0620768986022434,0.810362057330277,0.111428650318338,0.774711864280152,0,0.842549656474523
"22",22,5.8811045049607e-05,5.8811045049607e-05,0.474519717104738,0,0.474520740162469,0,0.434949426066958,0.000699785952380157,0.439351631421136
"23",23,5.8811045049607e-05,5.8811045049607e-05,0.33941097782717,0.0491503377090445,0.113869227356653,0.00854979625881366,0.145663120316132,0.000512812544866626,0.339600750947119
"24",24,5.8811045049607e-05,5.8811045049607e-05,0.337856079735189,0,0.337849166569912,0.00686370396632292,0.12492253114569,0.00101055239688622,0.298421708344168
"25",25,0.426221464813524,9998866577.64267,0.801234580674635,0.292876308966432,0.609418095093827,0,0.720802659149621,2307.72339574005,0.704253726639237
"26",26,0.166277242550414,9940673105.84993,0.75129689551295,0.0390309473013833,0.706833146703146,0.0287785051741874,0.720734557921496,0.00072597977667512,0.76151158236514
"27",27,5.8811045049607e-05,5.8811045049607e-05,0.229897305131916,0,0.229878133210477,0,0.246163529617894,0.00101381933231215,0.247116751598128
"28",28,0.213816725486675,9997732896.98361,0.749485972711628,0,0.749477357829139,0.0025812209961609,0.470148311948318,990.758432606963,0.4726103583386
"29",29,5.8811045049607e-05,5.8811045049607e-05,0.0117966805137934,0,0.0118327573217026,0,0.00646983316849676,0.15064378030189,0.00644851933316022
"30",30,0.241757616283983,9996334174.57004,0.768765130423252,0,0.768784417227176,0.069871747845401,0.734008068601176,0.000603478646239758,0.817291891829675
"31",32,0.0769001917416198,9999342719.38574,0.675787111915305,0,0.675785657222866,0.00204128950719496,0.62956522638483,1.90945031850512,0.620497519785928
"32",33,5.8811045049607e-05,9998992160.08879,0.461218390440354,0,0.461218920165036,0,0.599851546661102,443.239751561264,0.555565869167842
"33",34,9724751950.02688,9995473830.22963,0.999933893038648,9.17082492299628,1,9.74857425940858,1,0.525769764992282,1
"34",35,1.21915588325475,9999493778.13301,0.911094199027988,0.31650124979595,0.823171157640743,0.297839087296752,0.818300970377157,297.982137298494,0.925050510635118
"35",36,5.8811045049607e-05,5.8811045049607e-05,0.103117391921968,0,0.103110179087318,0.00458316556291223,0.0879773664514476,0.000551699399816572,0.274128778889611
"36",37,1.5194118484208,9999135219.97441,0.950006005842601,2.07104064008168,0,1.75979934229594,0,0.760281709241244,0.917185855524204
"37",38,5.8811045049607e-05,5.8811045049607e-05,0.437685286314174,0,0.437703052799554,0.00132634712785098,0.136144972647581,0.000604765247719839,0.292006744340823
"38",39,2.11772719957203,9996999239.75816,0.983109053133862,2.0470796688763,0,0,0.661171253996571,144.184466346738,0.644012227265037
"39",40,9.21009244841934,9999669758.07082,0.987037354979333,2.41792576847047,0.871299119819375,4.94138891511879,0.790091257812535,2.33574655985763,0.99467511865199
"40",42,0.0950133980666839,9998866336.0133,0.6096306314058,0.176671831342429,0.331504347531686,0.0391178829862555,0.491024519515808,2137.31628491122,0.602307290623409
"41",43,0.111306621906936,0.122567319886224,0.677041997475665,0,0.677024874125138,0.0359774053670477,0.630760524085944,0,0.677025072135974
"42",44,0.418782936091817,9998936733.19318,0.83672381425474,0,0.836726670810355,0,0.834407947539957,0.000543769615419993,0.837064353116042
"43",45,0.582404101701502,9999100220.98009,0.825888566914864,0,0.825894611461003,0,0.795489567383908,0.00059804572668682,0.798780045368814
"44",46,4.88676879365043,9999687170.23026,0.979814866521265,3.96290957742015,0.603786652897235,6.0622903609643,0.452103578605215,2.98001209698839,0.994278173520045
"45",48,0.0109854020497988,9999795925.74448,0.671289477021812,0,0.671283985192833,0,0.753066001990364,31.6183794779312,0.727972485877638
"46",49,5.8811045049607e-05,5.8811045049607e-05,0.504771362390037,0,0.504766795952124,0.00542341050367637,0.492956024488628,0.000554719131311278,0.529088727481223
"47",50,0.151769920349697,1.59913503462354,0.713843509798834,0,0.713843149190559,0.0819356332839579,0.653732551649111,0,0.71384298424595
"48",51,0.174729980312372,0.504717578263449,0.724348001520458,0,0.724332831119654,0.0108090982291596,0.709910531557151,0.000982160845184849,0.74771950045618
"49",52,0.0921232448409757,9992151458.05467,0.676697947028351,0,0.676696313673238,0,0.662508572775891,0.000547543395944927,0.670696959695339
"50",53,5.8811045049607e-05,9998553234.02177,0.542430281001377,0,0.542428719955823,0.0677455345005459,0.484276503790579,194.303246715834,0.696935944143094
"51",54,0.173729518079086,9991818173.13756,0.721622836328747,0,0.72160556089985,0.0311985542223841,0.67884807915246,0.000886400193757131,0.760468168477203
"52",55,0.0347877044385794,0.850726707421773,0.614272113781974,0,0.614276364392804,0,0.613021114969809,0.000692799914994555,0.614617597948837
"53",56,0.199358680680647,0.920549408043681,0.726824397321414,0,0.726813533272579,0,0.706562224575141,0.000586057723862815,0.702917437773861
"54",57,0.0955277596553617,9999133384.72831,0.589473758634343,0.288635191529523,0,0.213150765820024,0,165.431015505817,0.764122907929067
"55",58,0.29926104002048,9996850780.28266,0.771405689143675,0,0.771409600760084,0.015686120243973,0.696452439122116,0.000953627350609275,0.761674970450043
"56",59,0.44110989815916,9999772051.06833,0.831999428381913,0,0.831999740100963,0.0045250415606635,0.816959578076044,0.000351025552498946,0.823507543546136
"57",60,0.0870806792341169,5.8811045049607e-05,0.662172629048694,0,0.662170136028072,0.0123687932331287,0.677743181337784,0.000775398397097289,0.705619831489241
"58",61,0.0705823673851813,9998598278.87945,0.646984843489607,0,0.647000147119752,0.0427627427566291,0.60347075105406,195.784225271575,0.741884647164314
"59",62,0.314888951469478,9999687228.23274,0.79453141465493,0,0.794526969652794,0,0.788136859687348,0.000533993815762663,0.790859054540367
"60",63,0.0948153614436951,20.1915400445381,0.681491970759402,0,0.681490915809308,0.0682827850989476,0.604143649404088,0,0.681490916921384
"61",64,5.8811045049607e-05,5.8811045049607e-05,0.362345534420493,0.099358190888702,0,0,0.269410827214117,0.000676643302550632,0.271312576269662
"62",65,1.17662723741571,9999181571.18887,0.999920602235662,1.32866593884742,0.40543975810635,1.43323455925834,0.329491767691664,1.22341472215165,1
"63",66,5.8811045049607e-05,1.19365168072799,0.503199845911461,0,0.503213165769829,0.00856389008819145,0.460046855258822,0.0321027151487997,0.567954787484275
"64",67,0.303017702997232,9999630526.34002,0.776541431307724,0,0.776539311962078,0,0.754584965889009,1106.62532353115,0.733482358763791
"65",68,0.0391778916749243,5.8811045049607e-05,0.548939179348413,0.144780659544603,0.0591865012929203,0.0754481084201746,0.158350186008201,0.000633924021676643,0.47179353296375
"66",69,0.076152266651406,5.96144737725442,0.665594950744776,0,0.665593590625315,0,0.668774311083894,0.00061888240271413,0.669450975763758
"67",70,0.181877550645818,9999451061.08294,0.731881758384449,0.117772564558572,0.593590206172954,0.211674592684347,0.489183778987007,0.997222437815991,0.796143638002677
"68",71,5.8811045049607e-05,5.8811045049607e-05,0.311883957735669,0.0475596001789339,0,0,0.303657950796209,0.000559478139995116,0.305198371321987
"69",72,0.0348382419610826,9998776462.56297,0.612873099630509,0,0.612880087977751,0.0208691576196273,0.6205156765604,0.0268026772321151,0.673826462629878
"70",73,0.140088785299918,9998165163.01847,0.694927302252421,0.312543766255189,0,0.264942343293064,0,0.000917935330959173,0.735772142011853
"71",74,0.548992146612232,9999687083.04966,0.833732352531944,1.06274111447162,0,0.550372742296219,0,1392.86692208868,0.905487003896653
"72",75,5.8811045049607e-05,5.8811045049607e-05,0.543291818870085,0,0.543312096762682,0.00610637704347111,0.535619873883039,0.000580001148861345,0.590650200673985
"73",76,5.8811045049607e-05,1.41074391544432,0.322793874314286,0,0.322811186521118,0.00511896619687214,0.263527258172478,340.622388876567,0.351809378139423
"74",77,1.05502630328502,9998599822.02535,0.908124225422556,0.654114027979592,0.704832489006696,0.0114382375809273,0.901192459533817,1.9543438332549,0.902588870226629
"75",78,0.316045733961331,9999041656.71513,0.803543685968494,0.0476898850813479,0.769771978648041,0.0303045586638742,0.791123515158736,0.000503064244567865,0.82977323073614
"76",79,5.8811045049607e-05,5.8811045049607e-05,0.247252305416879,0,0.24726384678738,0.00500759341808894,0.176093742833407,0.000509336044106854,0.343595475490326
"77",80,0.101218262380373,9999465860.68429,0.675234301665016,0.020756741585267,0.646594059842694,0,0.6956432888524,1.01278070702527,0.684379864708004
"78",81,0.0705462355248141,9999134741.05552,0.652547204094976,0,0.65254560171931,0.0318068965903964,0.626293173169975,381.427670097435,0.668545800556555
"79",82,0.000558144747865887,4.62842152489533,0.445816140597775,0.0368024135685254,0.257454548770214,0.0279840089688376,0.359094125562216,2.69649921974896,0.50411737204364
"80",83,0.377216986950279,9999669592.14833,0.818308559593398,0,0.818327770608448,0.0717765153417225,0.775331610691854,0,0.818328400046409
"81",84,0.630965970395609,9999845086.05085,0.842553058497096,0.627963882821733,0.50197560177974,0,0.822619954577266,1.97598622684314,0.806420326718623
"82",86,0.149294741706799,9999464942.82657,0.710018196395146,0,0.710017359362904,0.0232392599327276,0.691771044794601,518.746358730931,0.70611803086371
"83",87,0.417549230564299,9999687220.45113,0.798139658158697,0,0.798122808761436,0.102671675097143,0.746766650030585,0,0.798123100154088
"84",88,5.8811045049607e-05,5.8811045049607e-05,0.404665931584214,0,0.404664260588046,0.00542043681885821,0.501625403308521,0.000982398123793214,0.536844107428564
"85",89,0.132990580989212,5.8811045049607e-05,0.726928020447415,0,0.726914183419823,0,0.711879209554571,0.000941099999564168,0.711929523344839
"86",90,9996767201.83311,9986906275.50769,0.999933893038648,1.89285353598588,1,0,0.688620924828213,0.969201896022232,0.677120263569372
"87",91,0.34647755605802,0.649404935955506,0.793084829770986,0,0.793077704418571,0,0.637198220573297,0.00057527878249618,0.640458842846651
"88",92,5.8811045049607e-05,9999134492.36711,0.331451825142184,0,0.331459505991987,0.0057528671861934,0.353963543197813,767.457295043569,0.410997663723879
"89",93,0.029852419931541,5.8811045049607e-05,0.604451759616775,0,0.604471189219363,0.0141070143346165,0.598753639790151,0.000598483751155294,0.662178576950165
"90",94,0.0109984842482424,5.8811045049607e-05,0.572212538518392,0,0.572211215052302,0.00512844384368184,0.562873536392178,0.000747828510129468,0.615566886793131
"91",95,5.8811045049607e-05,5.8811045049607e-05,0.203616185371105,0,0.203623559572061,0.00689273825336681,0.0749419974308779,0.000806843479044586,0.318809122113576
"92",96,6.72058671916564,9999795843.1015,0.975297750272409,0,0.975295645058833,0.74540493329015,0.948118008544768,4175.55266430368,0.989932098889778
"93",97,0.265473538317184,9999795443.88077,0.721978845173789,0.402810070336688,0.369158485356698,0.100218696616559,0.556240275142587,0.0833518627370703,0.804350142483144
"94",98,0.0665971353371834,9998944502.36841,0.652310330833337,0,0.652307810421891,0.0116728053278245,0.620305460134431,0.363154856215987,0.649894253750073
"95",99,0.15546295273194,9998157365.30682,0.72176209346197,0,0.721762398493543,0.0733454312831045,0.65015846934527,0,0.721762710113842
