"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0.0924139425453832,9999762754.23185,0.0797877688221086,0.21204626367636,0,0,0,0
"2",1,0.0514585596011788,9998702241.44474,0.0136405821662221,1531.52525180996,0,0,0,0
"3",2,0.0990332495513032,9999787274.98064,0.0849553229647397,0.179477063481009,0,0,0,0
"4",3,0.067776561516031,0.237781478448944,0.0582220696306809,0.157496149898036,0,0,0,0
"5",4,0.0163942711309073,9999356468.93867,0.0204678633898177,0.00939936366906209,0,0,0,0
"6",5,0.29006997755736,9998768677.50959,0.296045716751175,0.214690352147962,0,0,0,0
"7",6,6.03698362170567,9999135046.38381,0.95743715137201,605.665850564854,0,0,0,0
"8",7,5.8811045049607e-05,5.8811045049607e-05,0,0.00067924506365735,0,0,0,0
"9",8,5.8811045049607e-05,9999152340.86528,0.00313605488874111,0.00457618915201958,0,0,0,0
"10",9,0.201291049643607,5.8811045049607e-05,0.136708407982508,1.02880941321427,0,0,0,0
"11",10,5.8811045049607e-05,9999135031.51455,0.0242671011647077,306.616980261388,0,0,0,0
"12",11,0.571068297076575,9999783475.47017,0.584367085755862,464.867074216519,0,0,0,0
"13",12,9998854311.06144,9999325713.42591,2001416.68100333,0,0,0,0,0
"14",14,5.8811045049607e-05,11.2326555104303,0,11.2307892768085,0,0,0,0
"15",15,0.371145825333293,9999945108.33081,0.371151202464701,0,0,0,0,0
"16",16,0.145633738813732,5.18162399256234,0.136755016384015,0.214343702161611,0,0,0,0
"17",17,5.8811045049607e-05,5.8811045049607e-05,8.75720592945573e-05,0.00170273919291862,0,0,0,0
"18",18,0.0959613987834251,9998585334.32328,0.0959634530167933,0,0,0,0,0
"19",19,5.8811045049607e-05,9991954699.97209,0,46564.1640449472,0,0,0,0
"20",20,0.341966157450588,0.546735236946768,0.0667004943488088,1.26059261686904,0,0,0,0
"21",21,0.506374959470416,9994402103.96813,0.492190376571228,0.182961627954689,0,0,0,0
"22",22,5.8811045049607e-05,5.8811045049607e-05,0,0.000765868954166796,0,0,0,0
"23",23,5.8811045049607e-05,5.8811045049607e-05,0,-4.44089209850063e-16,0,0,0,0
"24",24,5.8811045049607e-05,5.8811045049607e-05,0,0.000677864096634322,0,0,0,0
"25",25,0.426221464813524,9998866577.64267,0.176897551412603,16312.0931135791,0,0,0,0
"26",26,0.166277242550414,9940673105.84993,0.164194437395746,0.117471030766123,0,0,0,0
"27",27,5.8811045049607e-05,5.8811045049607e-05,0,0.00087137696072833,0,0,0,0
"28",28,0.213816725486675,9997732896.98361,0.00182623424221276,1207.33937373243,0,0,0,0
"29",29,5.8811045049607e-05,5.8811045049607e-05,0,0.000711343161106544,0,0,0,0
"30",30,0.241757616283983,9996334174.57004,0.291438756534159,0.252794994368451,0,0,0,0
"31",32,0.0769001917416198,9999342719.38574,0.0634580820557117,4.25494012671586,0,0,0,0
"32",33,5.8811045049607e-05,9998992160.08879,0.00955540623398882,205.491928012807,0,0,0,0
"33",34,9724751950.02688,9995473830.22963,35.4116030297965,1.15755492416597,0,0,0,0
"34",35,1.21915588325475,9999493778.13301,1.18910776131071,4.2250297907707,0,0,0,0
"35",36,5.8811045049607e-05,5.8811045049607e-05,0,-5.55111512312578e-17,0,0,0,0
"36",37,1.5194118484208,9999135219.97441,0.997248452441264,94.0566904733065,0,0,0,0
"37",38,5.8811045049607e-05,5.8811045049607e-05,0,0.000684433819739717,0,0,0,0
"38",39,2.11772719957203,9996999239.75816,0.105040238204857,12125.8867579026,0,0,0,0
"39",40,9.21009244841934,9999669758.07082,9.24600923138602,0.0118331958595423,0,0,0,0
