"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,3.55431510694523,3.93911634548016,3.12500829274717,3.84159646341286,3.10910918878523,0,0
"2",1,6.49922843016418,5.23433314955872,4.83284819918613,4.76898365499017,4.76898369181758,0,0
"3",2,4.22186099295817,2.67675389968302,2.76453858606058,3.14491674855008,2.67640567520858,0,0
"4",3,4.04592113010933,1.31690688341119,1.22890615330074,1.27619482761377,1.18540140441425,0,0
"5",4,5.60229258455002,3.31114730597992,3.46894579530164,3.79936999979093,3.30455006653228,0,0
"6",5,2.09507555872398,0.85619745322546,0.839663202115454,2.86737183473698,0.838203793034708,0,0
"7",6,3.36310426190666,5.55962471307508,5.48323526258996,6.4629976430582,5.18870749868028,0,0
"8",7,13.8629983814575,13.9338979292158,8.00275853967785,7.96401274616996,7.96399079266063,0,0
"9",8,6.89975508898529,4.69926636867043,4.8202244921651,5.45350608175386,4.47025298935707,0,0
"10",9,6.87093192400339,9.26800841725267,8.66606816358773,8.61761405719338,8.61795815690945,0,0
"11",10,5.13701679032293,4.31554158152676,2.93711416155307,2.74908866146013,2.74908867777344,0,0
"12",11,0.824343324396045,3.10712685252606,2.98599831473911,3.97928227186779,2.95251307211282,0,0
"13",12,3.61567167122673,3.7495461817825,3.71236748962382,9.10808610219945,3.5202739475104,0,0
"14",14,8.66327448499136,6.04553883106986,4.49779999882642,4.43192654369073,4.43192654454227,0,0
"15",15,1.78083401144355,2.79454040606285,2.82252815807986,3.52689867332206,2.79454040578097,0,0
"16",16,3.26029980290568,3.6948465863841,3.65543638767464,5.47590718911241,3.60792603114582,0,0
"17",17,9.93413736816753,7.08077273160855,6.03350418522528,5.97323102820944,5.97367373704435,0,0
"18",18,4.2097950814181,3.61940213457047,3.58589746276629,4.04530629684,3.58576407779326,0,0
"19",19,13.0564422607655,11.169485746718,9.87991086011796,9.79039140134563,9.79039143535979,0,0
"20",20,4.46265201921248,5.10951075846769,3.27502475450989,3.29307659905934,3.25583024945676,0,0
"21",21,1.20372901182869,0.960057640108135,0.954769884354507,3.1006063240812,0.954735358656448,0,0
"22",22,11.9162354147996,9.73397432012518,7.82841840631096,7.75311703263246,7.75372360789235,0,0
"23",23,11.3498511116704,10.6671029520652,7.49891358438837,7.47528397546695,7.47546245240998,0,0
