"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.0176457657275986,0.0322174154480492,5.8811045049607e-05,0.00831566191893017,0.0228342661496072,0,0,0,0
"2",1,5.8811045049607e-05,5.8811045049607e-05,9869224928.67515,0,19560.658194875,0,0,0,0
"3",2,0.0331573078879626,0.052557059450523,2.00077538765267,0.0323690120031833,0.00248429412276313,0,0,0,0
"4",3,5.8811045049607e-05,0.00998082703409585,5.8811045049607e-05,0.00207674634940723,0.00789872702275855,0,0,0,0
"5",4,5.8811045049607e-05,0.0322756467110207,9991410599.15341,0.00232211782275718,0.00130134248249411,0,0,0,0
"6",5,0.286409760708887,0.287699710380463,9998626638.03973,0.292380936532626,0.158038072909309,0,0,0,0
"7",6,2.3119362910367,1.37532805814331,9999669634.80686,0.632716460110046,148.856201402384,0,0,0,0
"8",7,0.00416769232044219,5.8811045049607e-05,5.8811045049607e-05,0,2.77555756156289e-17,0,0,0,0
"9",8,5.8811045049607e-05,0.0270992551740066,0.378621259823333,0.00251124726766131,0.003213949945214,0,0,0,0
"10",9,0.103747744459274,5.8811045049607e-05,5.8811045049607e-05,0,0.000707171695882375,0,0,0,0
"11",10,5.8811045049607e-05,0.00421169588568461,9999355273.71221,0,8396282.07894401,0,0,0,0
"12",11,0.513205041328863,0.274245193475393,9999630094.31518,0.333168948968996,0.288204655430829,0,0,0,0
"13",12,9998551906.07349,9999880585.51742,9999795822.58997,60474613.4826584,1111100.46935584,0,0,0,0
"14",14,5.8811045049607e-05,5.8811045049607e-05,289.097987368806,0,276.616008350076,0,0,0,0
"15",15,0.129785659280385,0.129250213413743,9999324285.22632,0.129792955906135,0,0,0,0,0
"16",16,0.065783444497115,0.119033738143427,0.115971281328145,0.0581269349663014,0.0279982091922618,0,0,0,0
"17",17,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000713998767566557,0,0,0,0
"18",18,0.0779732514569969,0.0867513422135013,5.42133656904863,0.0883428246255857,0.113830249027807,0,0,0,0
"19",19,5.8811045049607e-05,5.8811045049607e-05,9992225990.19042,0,1367597.77239535,0,0,0,0
"20",20,0.116772514312238,0.00529337624896841,5.8811045049607e-05,0.00141289816269914,0.0228637499486204,0,0,0,0
"21",21,0.540559246899022,0.525066271040861,5.8811045049607e-05,0.525561426001158,0.0906280670197891,0,0,0,0
"22",22,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000790066763870314,0,0,0,0
"23",23,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000761946794028703,0,0,0,0
"24",24,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000625048139098477,0,0,0,0
"25",25,0.244748054257874,0.00992000983071471,9999476970.99842,0.0882079428911065,572.314173449329,0,0,0,0
"26",26,0.148093807100329,0.132353912400793,31.0793686728856,0.139115209495804,0.188291560773818,0,0,0,0
"27",27,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,-2.22044604925031e-16,0,0,0,0
"28",28,0.248290159288758,0.00148917517500227,9979605582.69332,0,101009.326531308,0,0,0,0
"29",29,5.8811045049607e-05,5.8811045049607e-05,5.8811045049607e-05,0,0.000675868116867133,0,0,0,0
"30",30,0.229878994953832,0.204395112634516,9996408027.394,0.252208172627204,115.043278133985,0,0,0,0
"31",32,0.0341803421546215,0.00355188051722268,9996326796.56461,0.00290118353618048,1425.86369189706,0,0,0,0
"32",33,5.8811045049607e-05,0.00709410915380978,7.67175988826865,0.00288039237489199,0.0308274195020954,0,0,0,0
"33",34,9997698985.38303,9977235531.54616,9690907425.02229,5.85724416337579,800.582684778868,0,0,0,0
"34",35,0.33633832414549,0.330671933099299,9999135502.84867,0.338487408547897,0.126057012992831,0,0,0,0
